review,rating,sentiment,language
pakoda mat khao paisa barbaad hai,3,bad,hindi
mess mein sheera bahut tasty tha,5,good,hindi
bro the uppit was fire,5,good,english
samosa hits different fire,4,good,english
lassi taste leka undi bro,1,bad,telugu
mess toor dal full kemp agide,1,bad,kannada
pongal khake lajawab feel aaya,5,good,hindi
mess mein omelette lajawab tha,4,good,hindi
yaar appam to ekdum perfect tha,5,good,hindi
mess pulao mood off,1,bad,telugu
bhai noodles bahut tasty,5,good,hindi
jalebi khake regret feel,2,bad,hindi
dal fry khana hi nahi hai bhai,1,bad,hindi
appam tinda mele full sakkath feel aaithu,5,good,kannada
bhajji try chesthe baga tasty,4,good,telugu
cutlet tinda mele yummy feel aaithu,5,good,kannada
mess mein maggi ekdum zabardast tha,4,good,hindi
mess da samosa na khao,1,bad,punjabi
mess omelette full bekagilla,1,bad,kannada
bhai pav bhaji perfect tha,5,good,hindi
bro momos baga tasty,5,good,telugu
moong dal try chesthe baga tasty,4,good,telugu
dhokla khali waste undi bro,3,bad,telugu
jalebi khake khana hi nahi feel,2,bad,hindi
bonda pani pattadu undi bro,1,bad,telugu
mess medu vada khali waste,2,bad,telugu
tried noodles and it was slaps,4,good,english
manchurian taste leka undi bro,2,bad,telugu
seriously bro lassi waste piece,1,bad,kannada
coffee try cheyakandi baledu bro,1,bad,telugu
medu vada skip maadi kemp agide,2,bad,kannada
mess fried rice full mood spoil,1,bad,kannada
mess ka chana dal bewakoof banaya,1,bad,hindi
nah cutlet iz mid,1,bad,english
mess halwa lowkey straight garbage,1,bad,english
bro the pulao was crazy good,4,good,english
bhai seriously fried rice taste zero,1,bad,punjabi
moong dal khake perfect tha feel aaya,4,good,hindi
bajji hits different absolutely fire,5,good,english
mess scrambled egg full mood spoil,2,bad,kannada
pav bhaji try chesthe perfect ga undi,5,good,telugu
tadka dal tini tarvata mood off,1,bad,telugu
vada pav skip karo ghatiya si hai,1,bad,punjabi
scrambled egg try madi perfect,4,good,kannada
pasta skip karo ghatiya si hai,1,bad,punjabi
