review,rating,sentiment,language
The breakfast tasted unpleasant.,1,bad,english
"Loved the curd, it was superb.",5,good,english
mushroom masala bahut not good hai.,1,bad,hindi
roti tinte bagundi anipinchindi.,5,good,telugu
the pickle was op.,5,good,english
really terrible raita.,2,bad,english
aaj ka oota ghatiya tha.,2,bad,hindi
dessert kha ke maza aa gaya.,5,good,hindi
fish curry swaad ni lagya.,1,bad,punjabi
biryani tumba worst agide.,1,bad,kannada
breakfast khatam lagya.,1,bad,punjabi
mixed veg ekdum badhiya hai.,5,good,hindi
poha bekar.,1,bad,kannada
Really dreadful raita.,1,bad,english
dosa chala worst ga undi.,2,bad,telugu
curd chala baga chesaru.,5,good,telugu
dosa full ruchi illa.,2,bad,kannada
raita was absolutely pathetic.,2,bad,english
the naan was good.,4,good,english
The butter chicken tasted bland.,1,bad,english
rice chala keka.,5,good,telugu
lunch was absolutely good.,5,good,english
sambar chala adhurs.,5,good,telugu
mushroom masala vadiya hai.,5,good,punjabi
lunch bahut vadiya hai.,5,good,punjabi
eeroju rajma asalu baledu.,1,bad,telugu
Ivattu paratha chennagilla.,2,bad,kannada
chole tumba bekar.,1,bad,kannada
aaj ka sambar gazab tha.,5,good,hindi
paneer bahut zabardast hai.,5,good,hindi
dinner nodoke chennagilla.,2,bad,kannada
meal bahut ek number hai.,5,good,hindi
soup baledu.,2,bad,telugu
mushroom masala sira lagya.,5,good,punjabi
upma super agide.,4,good,kannada
mixed veg sira lagya.,5,good,punjabi
the aloo gobi tasted good.,5,good,english
such a dreadful paneer.,1,bad,english
breakfast chala excellent ga undi.,4,good,telugu
baingan bharta kha ke mood kharab.,1,bad,hindi
ivattu rajma chennagide.,5,good,kannada
curd ekdum mood kharab hai.,1,bad,hindi
pickle bahut vadiya hai.,5,good,punjabi
aaj curry bekar si.,3,bad,punjabi
breakfast chala ruchi ledu.,2,bad,telugu
rice full tumba chennagide.,4,good,kannada
butter chicken chala waste.,2,bad,telugu
fish curry ruchi illa.,1,bad,kannada
curry ekdum not good hai.,1,bad,hindi
bhatura zabardast hai.,5,good,hindi
"loved the place, it was great.",5,good,english
chicken was absolutely amazing.,5,good,english
palak paneer bahut mood kharab hai.,1,bad,hindi
aaj aloo gobi changa si.,5,good,punjabi
Eeroju fish curry waste.,2,bad,telugu
I had a dreadful biryani.,1,bad,english
The pickle tasted nasty.,3,bad,english
puri jama fuddu hai.,2,bad,punjabi
sabzi is awful.,1,bad,english
aaj ka dinner waste tha.,2,bad,hindi
idli ekdum zabardast hai.,5,good,hindi
such a tasty sambar.,5,good,english
ivattu pulao thu.,2,bad,kannada
aaj ka curry mood kharab tha.,1,bad,hindi
methi paratha nodoke tumba chennagide.,5,good,kannada
curd nodoke kettadagide.,2,bad,kannada
dal swaad ni lagya.,1,bad,punjabi
mushroom masala ek number hai.,5,good,hindi
egg curry jama bakwaas hai.,2,bad,punjabi
food full super agide.,5,good,kannada
salad nodoke kettadagide.,1,bad,kannada
curry nodoke kettadagide.,1,bad,kannada
chutney thu.,1,bad,kannada
Eeroju chapati ruchi ledu.,1,bad,telugu
egg curry tinte ruchi ledu anipinchindi.,1,bad,telugu
dal makhani asalu worst ga undi.,2,bad,telugu
aloo gobi chala adhurs.,5,good,telugu
aaj ka sabzi waste tha.,1,bad,hindi
butter chicken daridram.,1,bad,telugu
fish curry ruchi ledu.,1,bad,telugu
sabzi bekar.,1,bad,kannada
aaj ka dessert ghatiya tha.,1,bad,hindi
the palak paneer ws disgusting.,2,bad,english
"hated the lunch, it was pathetic.",3,bad,english
aaj ka mixed veg khatam tha.,1,bad,hindi
eeroju oota daridram.,2,bad,telugu
vada jhakaas hai.,5,good,hindi
bhojanam ekdum not good hai.,1,bad,hindi
paneer chala adhurs.,5,good,telugu
bhatura ekdum badiya hai.,5,good,hindi
aloo gobi nodoke worst agide.,2,bad,kannada
food tumba sakath.,5,good,kannada
aaj bhojanam ghaint si.,5,good,punjabi
the meal tasted excellent.,4,good,english
aaj puri mazza aa gaya si.,4,good,punjabi
naan pura sira hai.,5,good,punjabi
roti ekdum not good hai.,1,bad,hindi
aaj ka paratha not good tha.,1,bad,hindi
The methi paratha tasted superb.,4,good,english
pulao sira hai.,4,good,punjabi
mushroom masala chala baga chesaru.,5,good,telugu
butter chicken iz tasteless.,3,bad,english
dosa nodoke super agide.,5,good,kannada
dosa changa hai.,5,good,punjabi
paneer fuddu lagya.,1,bad,punjabi
salad tinte ruchi ga undi anipinchindi.,4,good,telugu
Eeroju paratha baledu.,3,bad,telugu
paratha jama bakwaas hai.,1,bad,punjabi
Eeroju soup kirrak.,5,good,telugu
bhojanam super agide.,5,good,kannada
idli tumba sakath.,5,good,kannada
The sambar was perfect.,5,good,english
palak paneer bakwaas lagya.,2,bad,punjabi
breakfast sari illa.,1,bad,kannada
chutney tumba sari illa.,2,bad,kannada
such a pathetic quality.,1,bad,english
ivattu pulao worst agide.,1,bad,kannada
rice bahut gazab hai.,5,good,hindi
sabzi ruchi agide.,5,good,kannada
pickle matram baga chesaru.,5,good,telugu
such a superb butter chicken.,5,good,english
methi paratha kharaab hai.,1,bad,hindi
aaj ka butter chicken badhiya tha.,5,good,hindi
really tasteless oota.,1,bad,english
oota ekdum jhakaas hai.,4,good,hindi
idli matram super.,4,good,telugu
mixed veg pura mazza aa gaya hai.,5,good,punjabi
the salad was worst.,1,bad,english
dal bahut khatam hai.,3,bad,hindi
the methi paratha tasted superb.,5,good,english
aaj ka kadai chicken swadisht tha.,5,good,hindi
butter chicken ekdum badhiya hai.,5,good,hindi
baingan bharta tumba chennagilla.,1,bad,kannada
such a awful pulao.,1,bad,english
dal makhani baga chesaru.,4,good,telugu
breakfast nodoke worst agide.,2,bad,kannada
naan waste.,3,bad,telugu
pickle iz tasty.,5,good,english
dessert fuddu hai.,2,bad,punjabi
pulao ghaint lagya.,5,good,punjabi
really perfect pickle.,5,good,english
Ivattu fish curry ruchi illa.,1,bad,kannada
I had a amazing mushroom masala.,5,good,english
curry chala keka.,5,good,telugu
vada bakwaas lagya.,1,bad,punjabi
naan iz superb.,5,good,english
dal tumba keka.,5,good,kannada
roti chala waste.,2,bad,telugu
khana chala worst ga undi.,1,bad,telugu
pickle pura ghaint hai.,5,good,punjabi
mixed veg baledu.,1,bad,telugu
really awful chapati.,1,bad,english
the soup tasted pathetic.,3,bad,english
place iz bland.,1,bad,english
kadai chicken kha ke bekaar feel hoya.,3,bad,punjabi
paneer kha ke mood kharab.,1,bad,hindi
breakfast tinte chetta anipinchindi.,1,bad,telugu
vada asalu asalu baledu.,1,bad,telugu
dal makhani chala ruchi ga undi.,5,good,telugu
salad tumba chennagide.,5,good,kannada
aaj uttapam ganda si.,2,bad,punjabi
breakfast awesome hai.,5,good,hindi
aaj palak paneer maada si.,1,bad,punjabi
eeroju baingan bharta chetta.,1,bad,telugu
aaj ka vada chii tha.,1,bad,hindi
chapati nodoke chennagide.,5,good,kannada
ivattu chutney ruchi agide.,5,good,kannada
aaj ka idli khatam tha.,2,bad,hindi
roti chala daridram.,1,bad,telugu
oota asalu chandalanga undi.,3,bad,telugu
roti ekdum jhakaas hai.,5,good,hindi
pulao bakwaas hai.,1,bad,punjabi
poha tumba sari illa.,1,bad,kannada
kadai chicken bahut bakwas hai.,2,bad,hindi
sabzi was absolutely gross.,2,bad,english
really tasteless experience.,3,bad,english
dessert vadiya lagya.,4,good,punjabi
raita matram kirrak.,5,good,telugu
meal tumba sari illa.,1,bad,kannada
dosa lajawab hai.,5,good,hindi
pickle chala chala bagundi.,5,good,telugu
Eeroju chicken chandalanga undi.,1,bad,telugu
aaj dinner swaad ni si.,1,bad,punjabi
breakfast ekdum chii hai.,1,bad,hindi
Such a fantastic mixed veg.,4,good,english
quality is tasty.,5,good,english
dessert iz bad.,1,bad,english
baingan bharta full sari illa.,1,bad,kannada
aaj chutney bekar si.,1,bad,punjabi
sambar is nasty.,2,bad,english
dosa tinte chala bagundi anipinchindi.,4,good,telugu
paneer tinte ruchi ledu anipinchindi.,1,bad,telugu
bhatura jama bekaar hai.,1,bad,punjabi
i had a worst pickle.,1,bad,english
ivattu mixed veg thu.,1,bad,kannada
da sabzi was dreadful.,3,bad,english
really great biryani.,4,good,english
chole bahut vadiya hai.,5,good,punjabi
kadai chicken full thu.,1,bad,kannada
oota bekaar hai.,2,bad,hindi
vada chennagilla.,1,bad,kannada
meal tumba sakath.,4,good,kannada
poha tinte adhurs anipinchindi.,5,good,telugu
aaj oota fuddu si.,1,bad,punjabi
the biryani was perfect.,4,good,english
oota kha ke mood kharab.,2,bad,hindi
dal makhani sari illa.,1,bad,kannada
salad jhakaas hai.,4,good,hindi
da chapati was op.,4,good,english
really dreadful rice.,2,bad,english
really dreadful salad.,1,bad,english
biryani chii hai.,1,bad,hindi
food bahut lajawab hai.,5,good,hindi
meal is poor.,1,bad,english
salad kha ke maza aa gaya.,4,good,hindi
chicken worst agide.,1,bad,kannada
chicken was absolutely fantastic.,4,good,english
chutney was absolutely bland.,1,bad,english
aaj ka paratha mast tha.,5,good,hindi
bhojanam chii hai.,1,bad,hindi
roti is worst.,2,bad,english
vada jama bekar hai.,1,bad,punjabi
soup kha ke att feel hoya.,5,good,punjabi
I had a awful baingan bharta.,1,bad,english
puri was absolutely terrible.,3,bad,english
curd chala bagundi.,5,good,telugu
The pickle was nasty.,1,bad,english
The butter chicken tasted pathetic.,2,bad,english
oota ekdum chii hai.,1,bad,hindi
khana is op.,4,good,english
uttapam chala chala baledu.,2,bad,telugu
salad matram bagundi.,5,good,telugu
food bahut swadisht hai.,5,good,hindi
palak paneer kha ke maza aa gaya.,5,good,hindi
aaj ka chutney ghatiya tha.,1,bad,hindi
bhatura ghaint lagya.,5,good,punjabi
the aloo gobi tasted unpleasant.,1,bad,english
aaj ka breakfast ghatiya tha.,1,bad,hindi
I had a lovely soup.,5,good,english
raita nodoke ruchi agide.,5,good,kannada
biryani full chennagide.,5,good,kannada
uttapam jama bekaar hai.,1,bad,punjabi
curd att hai.,5,good,punjabi
Such a unpleasant kadai chicken.,1,bad,english
aaj ka dinner not good tha.,1,bad,hindi
ivattu chole keka.,4,good,kannada
The sambar tasted gross.,1,bad,english
bhatura chala daridram.,2,bad,telugu
khichdi was absolutely op.,4,good,english
the chicken was poor.,2,bad,english
dal was absolutely lovely.,4,good,english
mixed veg sahi h hai.,4,good,hindi
aaj breakfast sira si.,4,good,punjabi
khichdi bahut bakwas hai.,1,bad,hindi
dinner matram excellent ga undi.,5,good,telugu
chapati asalu baledu.,2,bad,telugu
Ivattu butter chicken ruchi illa.,2,bad,kannada
chutney matram super.,5,good,telugu
aloo gobi matram keka.,5,good,telugu
Eeroju mushroom masala baledu.,2,bad,telugu
Ivattu breakfast tumba chennagide.,5,good,kannada
the meal tasted excellent.,5,good,english
da dinner was good.,4,good,english
upma changa hai.,5,good,punjabi
Eeroju aloo gobi baga chesaru.,5,good,telugu
aaj meal changa si.,5,good,punjabi
uttapam iz osm.,5,good,english
aaj kadai chicken swaad si.,4,good,punjabi
aaj dal bekaar si.,2,bad,punjabi
curd bagundi.,5,good,telugu
uttapam bahut mast hai.,5,good,hindi
raita ekdum sahi hai hai.,5,good,hindi
mixed veg kha ke bekaar feel hoya.,1,bad,punjabi
lunch bahut bakwas hai.,1,bad,hindi
The dal makhani tasted nice.,5,good,english
poha full kettadagide.,2,bad,kannada
ivattu kadai chicken bombat.,4,good,kannada
aaj raita swaad si.,5,good,punjabi
kadai chicken asalu chetta.,2,bad,telugu
palak paneer tumba kettadagide.,1,bad,kannada
biryani kha ke mazza aa gaya feel hoya.,5,good,punjabi
i had a terrible paneer.,2,bad,english
ivattu khana mast agide.,4,good,kannada
ivattu curd worst agide.,1,bad,kannada
sabzi chala asalu baledu.,1,bad,telugu
breakfast jama fuddu hai.,1,bad,punjabi
poha sira lagya.,5,good,punjabi
curry chii hai.,3,bad,hindi
roti bakwaas hai.,2,bad,punjabi
sambar kirrak.,5,good,telugu
puri nodoke sari illa.,1,bad,kannada
pickle tinte adhurs anipinchindi.,5,good,telugu
aaj ka bhatura zabardast tha.,5,good,hindi
upma mood kharab hai.,3,bad,hindi
aaj idli bakwaas si.,1,bad,punjabi
paneer tumba worst agide.,2,bad,kannada
sambar kha ke fuddu feel hoya.,1,bad,punjabi
roti bahut ghatiya hai.,1,bad,hindi
dinner chala baledu.,1,bad,telugu
pickle tinte daridram anipinchindi.,1,bad,telugu
Ivattu paneer worst agide.,3,bad,kannada
soup chala chala baledu.,2,bad,telugu
aaj ka vada bekar tha.,3,bad,hindi
palak paneer tinte daridram anipinchindi.,1,bad,telugu
chutney nodoke worst agide.,1,bad,kannada
Really lovely dal makhani.,5,good,english
idli bekaar hai.,1,bad,punjabi
bhatura badhiya hai.,4,good,hindi
chapati jama khatam hai.,1,bad,punjabi
Such a terrible idli.,1,bad,english
palak paneer ekdum mood kharab hai.,2,bad,hindi
ivattu egg curry sari illa.,2,bad,kannada
fish curry kha ke ganda feel hoya.,1,bad,punjabi
"Loved the methi paratha, it was excellent.",5,good,english
palak paneer jama bekar hai.,1,bad,punjabi
Ivattu dinner kettadagide.,1,bad,kannada
khana full chennagilla.,3,bad,kannada
such a delicious khana.,4,good,english
butter chicken ekdum badhiya hai.,5,good,hindi
salad ganda lagya.,1,bad,punjabi
ivattu sabzi super agide.,5,good,kannada
aaj ka dosa chii tha.,2,bad,hindi
paneer thu.,1,bad,kannada
pulao tinte super anipinchindi.,4,good,telugu
sambar tinte daridram anipinchindi.,1,bad,telugu
Really delicious lunch.,5,good,english
chole fuddu hai.,1,bad,punjabi
curry changa hai.,4,good,punjabi
biryani bahut bekaar hai.,1,bad,hindi
The lunch tasted terrible.,1,bad,english
baingan bharta chennagide.,5,good,kannada
Such a op egg curry.,5,good,english
Really great egg curry.,5,good,english
da rajma tasted poor.,1,bad,english
"loved the quality, it was outstanding.",5,good,english
biryani nodoke ruchi agide.,5,good,kannada
paratha jama ganda hai.,3,bad,punjabi
ivattu poha kettadagide.,1,bad,kannada
